Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160415,Fri,ANA,MIN,10,N,22461,0,0,0,0.5555555555555556
20160415,Fri,SEA,NYA,9,N,35531,0,1,0.5,0.3333333333333333
20160415,Fri,KCA,OAK,11,N,19451,0,0,0.4,0.7777777777777778
20160415,Fri,CHA,TBA,10,N,16801,0,0,0.3333333333333333,0.7777777777777778
20160415,Fri,BAL,TEX,12,N,32628,1,3,0.5454545454545454,0.7777777777777778
20160415,Fri,COL,CHN,10,D,34437,0,4,0.8888888888888888,0.5555555555555556
20160415,Fri,SFN,LAN,11,N,53449,0,0,0.6,0.6
20160415,Fri,ATL,MIA,8,N,18071,1,1,0.42857142857142855,0
20160415,Fri,WAS,PHI,11,N,22624,1,0,0.5,0.875
20160415,Fri,MIL,PIT,11,N,24280,1,0,0.5,0.4444444444444444
20160415,Fri,ARI,SDN,11,N,28955,0,2,0.3,0.3
20160415,Fri,CIN,SLN,10,N,44997,0,1,0.5555555555555556,0.5555555555555556
20160416,Sat,TOR,BOS,10,D,36267,6,3,0.5555555555555556,0.45454545454545453
20160416,Sat,NYN,CLE,9,D,20165,5,0,0.5,0.4444444444444444
20160416,Sat,DET,HOU,12,N,30013,3,1,0.36363636363636365,0.6666666666666666
20160416,Sat,ANA,MIN,11,D,27464,0,0,0.1,0.5
20160416,Sat,SEA,NYA,10,D,38574,0,1,0.4444444444444444,0.4
20160416,Sat,KCA,OAK,12,D,25564,0,0,0.36363636363636365,0.8
20160416,Sat,CHA,TBA,11,N,30451,0,0,0.3,0.8
20160416,Sat,BAL,TEX,13,N,39493,1,3,0.5,0.8
20160416,Sat,COL,CHN,11,D,41702,0,4,0.8,0.6
20160416,Sat,SFN,LAN,12,N,53409,0,0,0.6363636363636364,0.5454545454545454
20160416,Sat,ATL,MIA,9,N,33123,1,1,0.375,0.1
20160416,Sat,WAS,PHI,12,N,30320,1,0,0.45454545454545453,0.8888888888888888
20160416,Sat,MIL,PIT,12,N,34957,1,0,0.45454545454545453,0.5
20160416,Sat,ARI,SDN,12,N,34051,0,2,0.2727272727272727,0.36363636363636365
20160416,Sat,CIN,SLN,11,D,44425,0,1,0.6,0.5
20160417,Sun,TOR,BOS,11,D,37217,6,3,0.6,0.4166666666666667
20160417,Sun,NYN,CLE,10,D,17621,5,0,0.5555555555555556,0.4
20160417,Sun,DET,HOU,13,D,30657,3,1,0.3333333333333333,0.7
20160417,Sun,ANA,MIN,12,D,25932,0,0,0.18181818181818182,0.45454545454545453
20160417,Sun,SEA,NYA,11,D,43856,0,1,0.4,0.45454545454545453
20160417,Sun,KCA,OAK,13,D,29668,0,0,0.4166666666666667,0.7272727272727273
20160417,Sun,CHA,TBA,12,D,21810,0,0,0.36363636363636365,0.7272727272727273
20160417,Sun,COL,CHN,12,D,41678,0,4,0.8181818181818182,0.5454545454545454
20160417,Sun,SFN,LAN,13,N,48911,0,0,0.5833333333333334,0.5833333333333334
20160417,Sun,ATL,MIA,10,D,24780,1,1,0.3333333333333333,0.18181818181818182
20160417,Sun,WAS,PHI,13,D,37378,1,0,0.4166666666666667,0.9
20160417,Sun,MIL,PIT,13,D,31124,1,0,0.5,0.45454545454545453
20160417,Sun,ARI,SDN,13,D,30520,0,2,0.3333333333333333,0.3333333333333333
20160417,Sun,CIN,SLN,12,D,46268,0,1,0.5454545454545454,0.5454545454545454
20160418,Mon,TOR,BOS,12,D,37168,6,3,0.5454545454545454,0.46153846153846156
20160418,Mon,ANA,CHA,13,N,14706,0,0,0.6666666666666666,0.4166666666666667
20160418,Mon,MIL,MIN,13,N,21078,0,0,0.25,0.4166666666666667
20160418,Mon,COL,CIN,13,N,12777,1,4,0.5,0.5833333333333334
20160418,Mon,WAS,MIA,11,N,16112,1,0,0.3,0.8181818181818182
20160418,Mon,NYN,PHI,14,N,21585,1,0,0.46153846153846156,0.45454545454545453
20160418,Mon,ARI,SFN,14,N,41432,0,2,0.5384615384615384,0.38461538461538464
20160418,Mon,CHN,SLN,13,N,45432,0,0,0.5833333333333334,0.75
20160419,Tue,TOR,BAL,12,N,16783,3,3,0.7272727272727273,0.5
20160419,Tue,TBA,BOS,13,N,32061,6,0,0.5,0.4166666666666667
20160419,Tue,ANA,CHA,14,N,12093,0,0,0.6153846153846154,0.46153846153846156
20160419,Tue,SEA,CLE,11,N,9393,5,1,0.5,0.4166666666666667
20160419,Tue,DET,KCA,13,N,26889,0,1,0.6666666666666666,0.6363636363636364
20160419,Tue,MIL,MIN,14,D,17597,0,0,0.3076923076923077,0.38461538461538464
20160419,Tue,OAK,NYA,12,N,31952,0,0,0.45454545454545453,0.46153846153846156
20160419,Tue,HOU,TEX,14,N,24181,1,3,0.5384615384615384,0.38461538461538464
20160419,Tue,LAN,ATL,13,N,14160,1,0,0.25,0.6153846153846154
20160419,Tue,COL,CIN,14,N,13240,1,4,0.46153846153846156,0.6153846153846154
20160419,Tue,WAS,MIA,12,N,16529,1,0,0.36363636363636365,0.75
20160419,Tue,NYN,PHI,15,N,22417,1,0,0.42857142857142855,0.5
20160419,Tue,PIT,SDN,14,N,19449,0,1,0.3076923076923077,0.5384615384615384
20160419,Tue,ARI,SFN,15,N,41218,0,2,0.5,0.42857142857142855
20160419,Tue,CHN,SLN,14,N,43841,0,0,0.5384615384615384,0.7692307692307693
20160420,Wed,TOR,BAL,13,N,15404,3,3,0.6666666666666666,0.5333333333333333
20160420,Wed,TBA,BOS,14,N,31689,6,0,0.46153846153846156,0.46153846153846156
20160420,Wed,ANA,CHA,15,D,12785,0,0,0.6428571428571429,0.42857142857142855
20160420,Wed,SEA,CLE,12,N,9890,5,1,0.5454545454545454,0.38461538461538464
20160420,Wed,DET,KCA,14,N,28928,0,1,0.6923076923076923,0.5833333333333334
20160420,Wed,OAK,NYA,13,N,37396,0,0,0.4166666666666667,0.5
20160420,Wed,HOU,TEX,15,N,25821,1,3,0.5714285714285714,0.35714285714285715
20160420,Wed,LAN,ATL,14,N,16087,1,0,0.3076923076923077,0.5714285714285714
20160420,Wed,COL,CIN,15,D,12979,1,4,0.5,0.5714285714285714
20160420,Wed,WAS,MIA,13,N,16961,1,0,0.3333333333333333,0.7692307692307693
20160420,Wed,MIN,MIL,15,N,21087,0,0,0.42857142857142855,0.2857142857142857
20160420,Wed,NYN,PHI,16,N,20057,1,0,0.4,0.5384615384615384
20160420,Wed,PIT,SDN,15,N,20681,0,1,0.35714285714285715,0.5
20160420,Wed,ARI,SFN,16,N,41497,0,2,0.4666666666666667,0.4666666666666667
20160420,Wed,CHN,SLN,15,D,43093,0,0,0.5,0.7857142857142857
20160421,Thu,TOR,BAL,14,N,17644,3,3,0.6923076923076923,0.5
20160421,Thu,TBA,BOS,15,D,37954,6,0,0.5,0.42857142857142855
20160421,Thu,ANA,CHA,16,D,11418,0,0,0.6666666666666666,0.4
20160421,Thu,SEA,CLE,13,D,11525,5,1,0.5,0.42857142857142855
20160421,Thu,DET,KCA,15,N,30763,0,1,0.6428571428571429,0.6153846153846154
20160421,Thu,OAK,NYA,14,N,33818,0,0,0.38461538461538464,0.5333333333333333
